 Date, Team, Acquired, Relinquished, Notes
2012-01-21, Blazers, , • Gerald Wallace, finger injury (DTD)
2012-01-21, Bobcats, , Corey Maggette, strained left hamstring (DNP)
2012-01-21, Bulls, , • Joakim Noah, sprained left ankle (DNP)
2012-01-21, Bulls, , • John Lucas III, strained left groin (DNP)
2012-01-21, Bulls, , • Taj Gibson, sprained left ankle (DNP)
2012-01-21, Jazz, , • Josh Howard, strained left quadricep (DNP)
2012-01-21, Kings, , • Chuck Hayes, dislocated left shoulder (DNP)
2012-01-21, Kings, , • John Salmons, illness (DNP)
2012-01-21, Mavericks, , • Dirk Nowitzki, sore right knee (DNP)
2012-01-21, Mavericks, , • Vince Carter, sprained left foot (DNP)
 Date, Team, Acquired, Relinquished, Notes
2012-01-21, Nets, , • Shawne Williams, shin splits (DNP)
2012-01-21, Nuggets, , • Rudy Fernandez, strained right Achilles tendon (DTD)
2012-01-21, Pistons, , • Ben Gordon, sore left shoulder (DNP)
2012-01-21, Pistons, , • Will Bynum, strained right foot (DNP)
2012-01-21, Spurs, , • Tim Duncan, rest (DNP)
2012-01-21, Timberwolves, , • Jose Juan Barea / Jose Barea / J.J. Barea, sprained left ankle (DNP)
2012-01-21, Timberwolves, , • Malcolm Lee / Malcom Lee, recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-21, Timberwolves, , • Michael Beasley, sprained right midfoot (DNP)
2012-01-22, Bobcats, , • D.J. White, bruised left knee (DNP)
2012-01-22, Celtics, , • Rajon Rondo, sprained right wrist (DNP)
2012-01-22, Pacers, , • Jeff Foster, sore lower back (DNP)
2012-01-23, 76ers, , • Nikola Vucevic, strained left quadricep / left knee injury (DNP)
2012-01-23, 76ers, , • Spencer Hawes, strained left Achilles tendon (DNP)
2012-01-23, Bulls, , • Luol Deng, torn ligament in left wrist (DNP)
2012-01-23, Celtics, , • Rajon Rondo, sprained right wrist (DNP)
2012-01-23, Celtics, , • Ray Allen, sprained left ankle (DNP)
2012-01-23, Celtics, , Mickael Pietrus, sore right shoulder (DNP)
2012-01-23, Kings, , • Chuck Hayes, dislocated left shoulder (DNP)
2012-01-23, Kings, , • Marcus Thornton (T.), bruised left thigh (DNP)
2012-01-23, Mavericks, , • Dirk Nowitzki, sore right knee (DNP)
2012-01-23, Nets, , • MarShon Brooks, sore left Achilles tendon (DNP)
2012-01-23, Pistons, , • Ben Gordon, sore left shoulder (DNP)
2012-01-23, Pistons, , • Will Bynum, strained right foot (DNP)
2012-01-23, Timberwolves, , • Jose Juan Barea / Jose Barea / J.J. Barea, sprained left ankle (DNP)
2012-01-23, Timberwolves, , • Malcolm Lee / Malcom Lee, recovering from surgery on left knee to repair torn meniscus (DNP)
 Date, Team, Acquired, Relinquished, Notes
2012-01-23, Timberwolves, , • Michael Beasley, sprained right midfoot (DNP)
2012-01-23, Timberwolves, , • Wesley Johnson / Wes Johnson, illness (DNP)
2012-01-24, Bobcats, , • D.J. Augustine, right big toe inflammation (DNP)
2012-01-24, Bobcats, , • D.J. White, bruised left knee (DNP)
2012-01-24, Nets, , Damion James, surgery on right foot to replace previously inserted screw (out for season)
2012-01-24, Pacers, , • A.J. Price, strep throat (DNP)
2012-01-24, Pacers, , • Jeff Foster, sore lower back (DNP)
2012-01-25, 76ers, , • Nikola Vucevic, strained left quadricep  (DNP)
2012-01-25, 76ers, , • Spencer Hawes, strained left Achilles tendon (DNP)
2012-01-25, Bobcats, , • Gerald Henderson (b), bruised lower back (DNP)
2012-01-25, Bulls, , • Luol Deng, torn ligament in left wrist (DNP)
2012-01-25, Jazz, , • Al Jefferson, right ankle inflammation (DNP)
2012-01-25, Kings, , • Chuck Hayes, dislocated left shoulder (DNP)
2012-01-25, Mavericks, , • Dirk Nowitzki, sore right knee (DNP)
2012-01-25, Nets, , • MarShon Brooks, sore left Achilles tendon (DNP)
2012-01-25, Pacers, , • A.J. Price, strep throat (DNP)
2012-01-25, Pacers, , • Jeff Foster, sore lower back (DNP)
2012-01-25, Pistons, , • Ben Gordon, sore left shoulder (DNP)
2012-01-25, Pistons, , • Will Bynum, strained right foot (DNP)
2012-01-25, Timberwolves, , • Jose Juan Barea / Jose Barea / J.J. Barea, sprained left ankle (DNP)
2012-01-25, Timberwolves, , • Luke Ridnour, sore left knee (DNP)
2012-01-25, Timberwolves, , • Malcolm Lee / Malcom Lee, recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-25, Timberwolves, , • Michael Beasley, sprained right midfoot (DNP)
2012-01-25, Nuggets, , • Arron Afflalo, strained right groin (DNP)
2012-01-26, Bucks, , • Andrew Bogut, fractured left ankle (out indefinitely)
 Date, Team, Acquired, Relinquished, Notes
2012-01-26, Celtics, , • Jermaine O'Neal, sore left knee (DNP)
2012-01-27, 76ers, , • Spencer Hawes, strained left Achilles tendon (DNP)
2012-01-27, Bobcats, , • D.J. Augustine, right big toe inflammation (DNP)
2012-01-27, Bobcats, , • D.J. White, bruised left knee (DNP)
2012-01-27, Bulls, , • Richard Hamilton, bruised thigh / groin injury (DNP)
2012-01-27, Celtics, , • Jermaine O'Neal, sore left knee (DNP)
2012-01-27, Celtics, , • Keyon Dooling, right hip pointer (DNP)
2012-01-27, Jazz, • Jamaal Tinsley, , returned to lineup
2012-01-27, Mavericks, , • Delonte West, strained right hamstring (DNP)
2012-01-27, Nets, , • MarShon Brooks, sore left Achilles tendon (DNP)
2012-01-27, Nets, , • Mehmet Okur, sore lower back / back spasms (DNP)
2012-01-27, Nuggets, • Rudy Fernandez, , returned to lineup
2012-01-27, Pacers, , • Jeff Foster, sore lower back (DNP)
2012-01-27, Pistons, , • Ben Gordon, sore left shoulder (DNP)
2012-01-27, Pistons, , • Will Bynum, strained right foot (DNP)
2012-01-27, Timberwolves, , • Anthony Tolliver, wrist injury (DTD)
2012-01-27, Timberwolves, , • Darko Milicic, illness (DNP)
2012-01-27, Wizards, , • Kevin Seraphin, dental procedure (DNP)
2012-01-28, 76ers, , • Spencer Hawes, strained left Achilles tendon (DNP)
2012-01-28, Bobcats, , • D.J. Augustine, right big toe inflammation (DNP)
2012-01-28, Bobcats, , • D.J. White, bruised left knee (DNP)
2012-01-28, Bobcats, , • Gerald Henderson (b), bruised/strained lower back (DNP)
2012-01-28, Pistons, , • Ben Gordon, sore left shoulder (DNP)
2012-01-28, Pistons, , • Will Bynum, strained right foot (DNP)
2012-01-29, Bulls, , • C.J. Watson, wrist injury (DNP)
 Date, Team, Acquired, Relinquished, Notes
2012-01-29, Celtics, , • Jermaine O'Neal, sore left knee (DNP)
2012-01-29, Nuggets, , • Ty Lawson, sprained left ankle (DNP)
2012-01-29, Timberwolves, , • Darko Milicic, illness (DNP)
2012-01-30, Bucks, , • Stephen Jackson, DNP
2012-01-30, Jazz, , • Al Jefferson, right ankle inflammation (DNP)
2012-01-30, Jazz, , • Raja Bell, strained right adductor (DNP)
2012-01-30, Nets, , • MarShon Brooks, fractured right little toe (out indefinitely)
2012-01-30, Pistons, , • Ben Gordon, sore left shoulder (DNP)
2012-01-30, Pistons, , • Will Bynum, strained right foot (DNP)
2012-01-30, Suns, , • Steve Nash, bruised left thigh (DNP)
2012-01-30, Thunder, , • Thabo Sefolosha, sore right foot (DNP)
2012-01-30, Timberwolves, , • Darko Milicic, illness (DNP)
2012-01-31, Cavaliers, , • Anthony Parker, strained lower back (DNP)
2012-01-31, Grizzlies, , • Sam Young, back spasms (DNP)
2012-01-31, Nets, , • MarShon Brooks, fractured right little toe (DNP)
2012-01-31, Nets, , • Mehmet Okur, sore lower back (DNP)
2012-01-31, Pacers, , • Jeff Foster, sore lower back (DNP)
2012-01-31, Pistons, , • Ben Gordon, sore left shoulder (DNP)
2012-01-31, Pistons, , • Will Bynum, strained right foot (DNP)
2012-02-01, Bulls, , • Richard Hamilton, right thigh injury (DNP)
2012-02-01, Clippers, , • Caron Butler, sore lower back (DNP)
2012-02-01, Jazz, , • Raja Bell, strained right adductor (DNP)
2012-02-01, Mavericks, , • Brendan Haywood, tightness in lower back (DNP)
2012-02-01, Mavericks, , • Lamar Odom, stomach ailment (DNP)
2012-02-01, Nets, , • Anthony Morrow, sore/sprained left ankle (DNP)
 Date, Team, Acquired, Relinquished, Notes
2012-02-01, Nets, , • MarShon Brooks, fractured right little toe (DNP)
2012-02-01, Nets, , • Mehmet Okur, sore lower back (DNP)
2012-02-01, Nets, , Johan Petro, stomach virus (DNP)
2012-02-01, Pacers, , • George Hill, sprained left ankle (DNP)
2012-02-01, Pacers, , • Jeff Foster, sore lower back (DNP)
2012-02-01, Pistons, , • Ben Gordon, sore left shoulder (DNP)
2012-02-01, Pistons, , • Will Bynum, strained right foot (DNP)
2012-02-01, Thunder, , • Thabo Sefolosha, sore right foot (DNP)
2012-02-02, Bobcats, , • Gerald Henderson (b), strained right hamstring (out indefinitely)
2012-02-02, Bulls, , • Richard Hamilton, right thigh injury (DNP)
2012-02-02, Hornets, , • Jarrett Jack, knee injury (DTD)
2012-02-02, Jazz, , • Devin Harris, strained left hamstring (DNP)
2012-02-02, Jazz, , • Earl Watson, sprained left ankle (DNP)
2012-02-02, Jazz, , • Raja Bell, strained right adductor (DNP)
2012-02-03, Blazers, , • Greg Oden, surgery on right knee to remove debris (out indefinitely)
2012-02-03, Nets, , • MarShon Brooks, fractured right little toe (DNP)
2012-02-03, Nets, , • Mehmet Okur, sore lower back (DNP)
2012-02-03, Pacers, , • George Hill, sprained left ankle (DNP)
2012-02-03, Pacers, , • Jeff Foster, sore lower back (DNP)
2012-02-03, Pistons, , • Ben Gordon, sore left shoulder (DNP)
2012-02-03, Thunder, , • Thabo Sefolosha, sore right foot (DNP)
2012-02-04, Bobcats, , • Gerald Henderson (b), strained right hamstring (DNP)
2012-02-04, Bobcats, , DeSagana Diop, right knee inflammation (DNP)
2012-02-04, Hawks, , • Jason Collins, sprained left elbow (DNP)
2012-02-04, Hornets, , • Jarrett Jack, sore left knee (DNP)
 Date, Team, Acquired, Relinquished, Notes
2012-02-04, Nets, , • MarShon Brooks, fractured right little toe (DNP)
2012-02-04, Nets, , • Mehmet Okur, sore lower back (DNP)
2012-02-04, Pacers, , • George Hill, sprained left ankle (DNP)
2012-02-04, Pacers, , • Jeff Foster, sore lower back (DNP)
2012-02-04, Pistons, , • Ben Gordon, sore left shoulder (DNP)
2012-02-04, Pistons, , • Will Bynum, strained right foot (DNP)
2012-02-04, Suns, , • Jared Dudley, bruised thigh (DNP)
2012-02-04, Thunder, , • Thabo Sefolosha, sore right foot (DNP)
2012-02-05, Celtics, , • Brandon Bass, sore left knee (DNP)
2012-02-05, Grizzlies, , • Tony Allen, hip injury (DTD)
2012-02-06, Bulls, , • Richard Hamilton, right thigh injury (DNP) (Fox)
2012-02-06, Grizzlies, , • Tony Allen, sore left hip/knee (DNP)
2012-02-06, Hawks, , • Jason Collins, sprained left elbow (DNP)
2012-02-06, Hornets, , • DaJuan Summers, right knee injury (DNP)
2012-02-06, Hornets, , • Jarrett Jack, sore left knee (DNP)
2012-02-06, Hornets, , • Jason Smith, concussion (DNP)
2012-02-06, Nets, , • MarShon Brooks, fractured right little toe (DNP)
2012-02-06, Nets, , • Mehmet Okur, sore lower back (DNP)
2012-02-06, Nuggets, , • Arron Afflalo, sprained left ankle (DNP)
2012-02-06, Nuggets, , • Nene / Nene Hilario / Maybyner Hilario, strained left heel (DNP)
2012-02-06, Nuggets, , • Timofey Mozgov, sprained left ankle (DNP) (Fox)
2012-02-06, Thunder, , • Thabo Sefolosha, sore right foot (DNP)
2012-02-06, Wizards, , • Rashard Lewis, sore left (P) / right (CBC) knee (DNP)
2012-02-07, Clippers, , • Chauncey Billups, torn left Achilles tendon (out for season)
2012-02-07, Knicks, , • Carmelo Anthony, strained right groin (out indefinitely)
 Date, Team, Acquired, Relinquished, Notes
2012-02-07, Nuggets, , • Danilo Gallinari, chip fracture in left ankle (out indefinitely)
2012-02-07, Pacers, , • George Hill, sprained left ankle (DNP)
2012-02-07, Pacers, , • Jeff Foster, sore lower back (DNP)
2012-02-07, Warriors, , • Nate Robinson, strained left groin (DNP)
2012-02-08, 76ers, , • Spencer Hawes, strained left Achilles tendon (DNP)
2012-02-08, Bucks, , • Ersan Ilyasova, back spasms (DNP)
2012-02-08, Bulls, , • Richard Hamilton, right thigh injury (DNP) (Fox)
2012-02-08, Cavaliers, , • Kyrie Irving, concussion (DNP)
2012-02-08, Hawks, , • Jason Collins, sprained left elbow (DNP)
2012-02-08, Hornets, , • Jason Smith, concussion (DNP)
2012-02-08, Knicks, , • Carmelo Anthony, strained right groin (DNP)
2012-02-08, Nets, , • DeShawn Stevenson, sore right knee (DNP) (P Fox)
2012-02-08, Nets, , • MarShon Brooks, fractured right little toe (DNP)
2012-02-08, Nets, , • Mehmet Okur, sore lower back (DNP)
2012-02-08, Nuggets, , • Danilo Gallinari, sprained left ankle (DNP)
2012-02-08, Nuggets, , • Timofey Mozgov, sprained left ankle (DNP) (Fox)
2012-02-08, Pacers, , • George Hill, chip fracture in left ankle (DNP)
2012-02-08, Pacers, , • Jeff Foster, sore lower back (DNP)
2012-02-08, Wizards, , • Rashard Lewis, sore left (P) / right (CBC) knee (DNP)
2012-02-08, Wizards, , Andray Blatche, strained left calf (DNP) (F)
2012-02-09, Nets, , • Keith Bogans, fractured left ankle / torn ligament in left ankle (out for season)
2012-02-09, Nuggets, , • Danilo Gallinari, sprained left ankle (DNP)
2012-02-09, Nuggets, , • Timofey Mozgov, sprained left ankle (DNP) (Fox)
2012-02-10, Bucks, , • Larry Sanders, illness (DNP)
2012-02-10, Bulls, , • Derrick Rose, strained lower back (DNP)
 Date, Team, Acquired, Relinquished, Notes
2012-02-10, Bulls, , • Richard Hamilton, right thigh injury (DNP) (Fox)
2012-02-10, Celtics, , • Jermaine O'Neal, sore left shoulder (DNP)
2012-02-10, Hornets, , • Chris Kaman, sprained left ankle (DTD)
2012-02-10, Hornets, , • Jarrett Jack, sore left knee (CBC Fox) / ankle (DNP)
2012-02-10, Hornets, , • Jason Smith, concussion (DNP)
2012-02-10, Knicks, , • Carmelo Anthony, strained right groin (DNP)
2012-02-10, Nets, , • DeShawn Stevenson, sore right knee (DNP) (P Fox)
2012-02-10, Nets, , • Keith Bogans, fractured left ankle / torn ligament in left ankle (DNP)
2012-02-10, Nets, , • Mehmet Okur, sore lower back (DNP)
2012-02-10, Wizards, , • Rashard Lewis, sore left (P) / right (CBC) knee (DNP)
2012-02-10, Wizards, , Andray Blatche, strained left calf (DNP) (F)
2012-02-11, 76ers, , • Spencer Hawes, strained left Achilles tendon (DNP)
2012-02-11, Bucks, , • Larry Sanders, illness (DNP)
2012-02-11, Knicks, , • Carmelo Anthony, strained right groin (DNP)
2012-02-11, Nets, , • DeShawn Stevenson, sore right knee (DNP) (P Fox)
2012-02-11, Nets, , • Mehmet Okur, sore lower back (DNP)
2012-02-11, Nuggets, , • Danilo Gallinari, sprained left ankle (DNP)
2012-02-11, Pacers, , • George Hill, chip fracture in left ankle / sprained left ankle (DNP) (Fox P)
2012-02-11, Pacers, , • Jeff Foster, sore lower back (DNP)
2012-02-12, Bulls, , • Derrick Rose, strained lower back (DNP)
2012-02-12, Bulls, , • Richard Hamilton, right thigh injury (DNP) (Fox)
2012-02-12, Rockets, , • Hasheem Thabeet, lower back injury (DNP)
2012-02-12, Warriors, , • Dominic McGuire, strained/sore left knee (DNP)
2012-02-12, Wizards, , Andray Blatche, strained left calf (DNP) (F)
2012-02-13, 76ers, , • Spencer Hawes, strained left Achilles tendon (DNP)
 Date, Team, Acquired, Relinquished, Notes
2012-02-13, Hornets, , • Emeka Okafor, sore left knee (DNP)
2012-02-13, Hornets, , • Jarrett Jack, bruised left knee (DNP)
2012-02-13, Hornets, , • Jason Smith, concussion (DNP)
2012-02-14, Bulls, , • Derrick Rose, strained lower back (DNP)
2012-02-14, Clippers, , • Chauncey Billups, surgery to repair torn left Achilles tendon (out for season)
2012-02-14, Kings, , • Jimmer Fredette, stomach virus (DNP)
2012-02-14, Knicks, , • Carmelo Anthony, strained right groin (DNP)
2012-02-14, Nuggets, , • Danilo Gallinari, sprained left ankle (DNP) (P)
2012-02-14, Nuggets, , • Nene / Nene Hilario / Maybyner Hilario, strained left calf (DNP)
2012-02-14, Pacers, , • George Hill, sprained left ankle (DNP)
2012-02-14, Suns, , • Grant Hill, rest (DNP)
2012-02-14, Suns, , • Steve Nash, rest (DNP)
2012-02-14, Wizards, , Andray Blatche, strained left calf (DNP) (F)
2012-02-15, 76ers, , • Spencer Hawes, strained left Achilles tendon (DNP)
2012-02-15, Celtics, , • Kevin Garnett, sore left hip (DNP)
2012-02-15, Grizzlies, , • Sam Young, sprained right ankle (DNP)
2012-02-15, Hawks, , • Tracy McGrady, rest (DNP)
2012-02-15, Hornets, , • Emeka Okafor, sore left knee (DNP)
2012-02-15, Hornets, , • Jarrett Jack, bruised left knee (DNP)
2012-02-15, Hornets, , • Jason Smith, concussion (DNP)
2012-02-15, Knicks, , • Carmelo Anthony, strained right groin (DNP)
2012-02-15, Nets, , • Jordan Farmar, strained right groin (DNP)
2012-02-15, Nets, , • Mehmet Okur, sore lower back (DNP)
2012-02-15, Nuggets, , • Danilo Gallinari, sprained left ankle (DNP) (F P)
2012-02-15, Nuggets, , • Nene / Nene Hilario / Maybyner Hilario, strained left calf (DNP)
 Date, Team, Acquired, Relinquished, Notes
2012-02-15, Pacers, , • Danny Granger, sprained left ankle (DNP)
2012-02-15, Pacers, , • George Hill, sprained left ankle (DNP)
2012-02-15, Pacers, , • Jeff Foster, sore lower back (DNP)
2012-02-15, Raptors, , Linas Kleiza, sore left knee (DNP)
2012-02-15, Rockets, , Hasheem Thabeet, sore back (DNP)
2012-02-16, Bulls, , • Derrick Rose, strained lower back (DNP)
2012-02-16, Nets, , • Mehmet Okur, sore lower back (DNP)
2012-02-16, Pacers, , • George Hill, sprained left ankle (DNP)
2012-02-17, 76ers, , • Spencer Hawes, strained left Achilles tendon (DNP)
2012-02-17, Bucks, , • Drew Gooden, sprained right wrist (DNP)
2012-02-17, Cavaliers, , • Daniel Gibson, sprained left ankle (DNP) (P)
2012-02-17, Hornets, , • Emeka Okafor, sore left knee (DNP)
2012-02-17, Hornets, , • Jason Smith, concussion (DNP)
2012-02-17, Knicks, , • Carmelo Anthony, strained right groin (DNP)
2012-02-17, Mavericks, , • Delonte West, surgery on broken right ring finger to insert pins (out indefinitely)
2012-02-17, Nuggets, , • Danilo Gallinari, sprained left ankle (DNP) (P)
